id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
2,0226C,0226C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,114,Gjakovë
2,0227C,0227C/01R,144,LËVIZJA VETËVENDOSJE!,27,Gjakovë
2,0227C,0227C/02D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,134,Gjakovë
2,0227C,0227C/02D,144,LËVIZJA VETËVENDOSJE!,31,Gjakovë
2,0227C,0227C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,150,Gjakovë
2,0228C,0228C/02D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,121,Gjakovë
2,0228C,0228C/01R,144,LËVIZJA VETËVENDOSJE!,40,Gjakovë
2,0228C,0228C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,179,Gjakovë
2,0228C,0228C/02D,144,LËVIZJA VETËVENDOSJE!,31,Gjakovë
2,0229C,0229C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,225,Gjakovë
2,0229C,0229C/02D,144,LËVIZJA VETËVENDOSJE!,30,Gjakovë
2,0229C,0229C/01R,144,LËVIZJA VETËVENDOSJE!,49,Gjakovë
2,0229C,0229C/02D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,160,Gjakovë
2,0230C,0230C/01D,144,LËVIZJA VETËVENDOSJE!,20,Gjakovë
2,0230C,0230C/01D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,233,Gjakovë
2,0231C,0231C/02D,144,LËVIZJA VETËVENDOSJE!,26,Gjakovë
2,0231C,0231C/01R,144,LËVIZJA VETËVENDOSJE!,44,Gjakovë
2,0231C,0231C/02D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,137,Gjakovë
2,0231C,0231C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,170,Gjakovë
2,0232C,0232C/01R,144,LËVIZJA VETËVENDOSJE!,17,Gjakovë
2,0232C,0232C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,182,Gjakovë
2,0232C,0232C/02D,144,LËVIZJA VETËVENDOSJE!,10,Gjakovë
