id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
36,BAJRAM HASANI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,1,Partesh
36,BAJRAM KOVAQI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Partesh
36,BAJRAM REDŽEPOVIĆ,M,5,GRAĐANSKA INICIJATIVA GORE,,0,Partesh
36,BAJRAM TUTAJ,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Partesh
36,BAJRAMSHA BRAIMI,F,14,PARTIA LIBERALE EGJIPTIANE,,1,Partesh
36,BAJRAMSHA SHALA,F,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Partesh
36,BAJRUŠ SEZAIRI,M,22,NOVA DEMOKRATSKA STRANKA,,0,Partesh
36,BAJRUSH BERISHA,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Partesh
36,BAJRUSH YMERI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,BALI MUHARREMAJ,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,BARDHYL META,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,BARIŞ BÖLÜKBAŞ,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,0,Partesh
36,BASHKIM KRASNIQI,M,14,PARTIA LIBERALE EGJIPTIANE,,4,Partesh
36,BASHKIM LAJÇI,M,25,Lëvizja VETËVENDOSJE!,,1,Partesh
36,BASRI DUBOVA,M,14,PARTIA LIBERALE EGJIPTIANE,,0,Partesh
36,BASRI MEROVCI,M,18,PARTIA DEMOKRATIKE E UNITETIT,,0,Partesh
36,BEATRISA DEMIRI,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,BEDRI MUSTAFA,M,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,0,Partesh
36,BEHGJET PACOLLI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,2,Partesh
36,BEHIE SERTOLLI,F,25,Lëvizja VETËVENDOSJE!,,0,Partesh
36,BEHLUL SHALA,M,19,FJALA,,0,Partesh
36,BEHXHET OSMANI,M,25,Lëvizja VETËVENDOSJE!,,0,Partesh
36,BEHXHET SAHITI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Partesh
36,BEJTA RAMADANI,M,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,0,Partesh
36,BEKË BERISHA,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,BEKIM HAXHIU,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,2,Partesh
36,BEKIM SHABANI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Partesh
36,BEKRIJE NAZIFI,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,BELINDA ŠABANI,F,20,KOALICIJA VAKAT,,0,Partesh
