id,Polling Center,Candidate,Party_ID,Party,Acronym,Votes,Municipality
10,1010D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,74,Kamenicë
10,1011D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,0,Kamenicë
10,1011D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,0,Kamenicë
10,1011D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2,Kamenicë
10,1011D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,3,Kamenicë
10,1011D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,5,Kamenicë
10,1011D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,10,Kamenicë
10,1012D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,0,Kamenicë
10,1012D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,12,Kamenicë
10,1012D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,9,Kamenicë
10,1012D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,86,Kamenicë
10,1012D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,52,Kamenicë
10,1012D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,60,Kamenicë
10,1013D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,2,Kamenicë
10,1013D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,4,Kamenicë
10,1013D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,19,Kamenicë
10,1013D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,9,Kamenicë
10,1013D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,8,Kamenicë
10,1013D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,42,Kamenicë
10,1015D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,5,Kamenicë
10,1015D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,29,Kamenicë
10,1015D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,128,Kamenicë
10,1015D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,39,Kamenicë
