Candidate,Gender,Party_ID,Party,Acronym,Votes
FATIME TAFAJ,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,68
FATIME TISHUKAJ,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,109
FATLIND BILALLI,M,70,Partia e Drejtësisë - PD,,1
FATLIND RAMADANI,M,61,LËVIZJA VETËVENDOSJE!,,0
FATLIND SHALA,M,61,LËVIZJA VETËVENDOSJE!,,34
FATLINDA IBRAHIMI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,50
FATLINDE KRASNIQI,F,70,Partia e Drejtësisë - PD,,2
FATLUM BEHLULI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,162
FATLUM MAZREKU,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,10
FATLUM MISIMI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,23
FATLUM OSMANI,M,61,LËVIZJA VETËVENDOSJE!,,132
FATLUME DELIJA,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,45
FATLUME GERGURI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,25
FATLUME JAHA,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,642
FATMA SHUFTA,F,102,KDTP - Kosova Demokratik Türk Partisi,,65
FATMIR ADEMAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,301
FATMIR ASLLANI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,504
FATMIR AZIZI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,223
FATMIR BAJRAKTARI,M,61,LËVIZJA VETËVENDOSJE!,,37
FATMIR BEHRAMI,M,47,IQ GRUPIMI TRADICIONAL SHQIPTAR,,1
FATMIR BELA,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,94
FATMIR BERBATOVCI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,159
FATMIR BOGUJEVCI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,2
FATMIR BUNJAKU,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,151
