id,Polling Center,Party_ID,Party,Acronym,Votes,Municipality
1,0113C,116,Lëvizja për Bashkëveprim,LpB,0,Deçan
1,0113C,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,0113C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0113C,119,Srpska Lista,SL,0,Deçan
1,0113C,120,Partia Balliste,PB,0,Deçan
1,0113C,121,Nisma Socialdemokrate,NISMA,1,Deçan
1,0113C,122,Koalicija Zajeno,KZ,0,Deçan
1,0113C,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,0,Deçan
1,0113C,124,Romani Iniciyativa,RI,0,Deçan
1,0113C,125,Socialdemokratska Unija,SDU,0,Deçan
1,0113C,126,Kosovaki Nevi Romani Partia,KNRP,0,Deçan
1,0113C,127,Lëvizja VETËVENDOSJE!,LV,160,Deçan
1,0113C,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,0113C,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,0113C,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,0113C,131,Nova Demokratska Stranka,NDS,0,Deçan
1,0113C,132,Lidhja Demokratike e Kosovës,LDK,46,Deçan
1,0113C,133,Naša Inicijativa,NAŠA,1,Deçan
1,0113C,134,Partia Demokratike e Kosovës,PDK,19,Deçan
1,0113C,135,Aleanca për Ardhmërinë e Kosovës,AAK,326,Deçan
1,0113C,136,Partia Liberale Egjiptiane,PLE,1,Deçan
1,0113C,137,Jedinstvena Goranska Partija,JGP,0,Deçan
1,0113C,138,FJALA,FJALA,0,Deçan
1,0114C,111,Iniciativa e Re Demokratike e Kosovës,IRDK,0,Deçan
1,0114C,112,Kosova Demokratik Türk Partisi,KDTP,0,Deçan
1,0114C,113,Koalicija VAKAT,VAKAT,0,Deçan
1,0114C,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,0114C,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,1,Deçan
1,0114C,116,Lëvizja për Bashkëveprim,LpB,0,Deçan
1,0114C,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,0114C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0114C,119,Srpska Lista,SL,0,Deçan
1,0114C,120,Partia Balliste,PB,0,Deçan
1,0114C,121,Nisma Socialdemokrate,NISMA,8,Deçan
1,0114C,122,Koalicija Zajeno,KZ,1,Deçan
1,0114C,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,1,Deçan
1,0114C,124,Romani Iniciyativa,RI,0,Deçan
1,0114C,125,Socialdemokratska Unija,SDU,0,Deçan
1,0114C,126,Kosovaki Nevi Romani Partia,KNRP,0,Deçan
1,0114C,127,Lëvizja VETËVENDOSJE!,LV,258,Deçan
1,0114C,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,0114C,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,0114C,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,0114C,131,Nova Demokratska Stranka,NDS,0,Deçan
1,0114C,132,Lidhja Demokratike e Kosovës,LDK,135,Deçan
1,0114C,133,Naša Inicijativa,NAŠA,0,Deçan
1,0114C,134,Partia Demokratike e Kosovës,PDK,33,Deçan
1,0114C,135,Aleanca për Ardhmërinë e Kosovës,AAK,293,Deçan
1,0114C,136,Partia Liberale Egjiptiane,PLE,0,Deçan
1,0114C,137,Jedinstvena Goranska Partija,JGP,0,Deçan
1,0114C,138,FJALA,FJALA,0,Deçan
1,BM101,111,Iniciativa e Re Demokratike e Kosovës,IRDK,0,Deçan
1,BM101,112,Kosova Demokratik Türk Partisi,KDTP,0,Deçan
1,BM101,113,Koalicija VAKAT,VAKAT,0,Deçan
1,BM101,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,BM101,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,0,Deçan
1,BM101,116,Lëvizja për Bashkëveprim,LpB,0,Deçan
1,BM101,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,BM101,118,Srpski Demokratski Savez,SDS,0,Deçan
1,BM101,119,Srpska Lista,SL,0,Deçan
1,BM101,120,Partia Balliste,PB,0,Deçan
1,BM101,121,Nisma Socialdemokrate,NISMA,7,Deçan
1,BM101,122,Koalicija Zajeno,KZ,0,Deçan
1,BM101,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,0,Deçan
1,BM101,124,Romani Iniciyativa,RI,0,Deçan
1,BM101,125,Socialdemokratska Unija,SDU,0,Deçan
1,BM101,126,Kosovaki Nevi Romani Partia,KNRP,0,Deçan
1,BM101,127,Lëvizja VETËVENDOSJE!,LV,946,Deçan
1,BM101,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,BM101,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,BM101,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,BM101,131,Nova Demokratska Stranka,NDS,0,Deçan
1,BM101,132,Lidhja Demokratike e Kosovës,LDK,226,Deçan
1,BM101,133,Naša Inicijativa,NAŠA,2,Deçan
1,BM101,134,Partia Demokratike e Kosovës,PDK,86,Deçan
1,BM101,135,Aleanca për Ardhmërinë e Kosovës,AAK,217,Deçan
1,BM101,136,Partia Liberale Egjiptiane,PLE,2,Deçan
1,BM101,137,Jedinstvena Goranska Partija,JGP,0,Deçan
1,BM101,138,FJALA,FJALA,0,Deçan
