id,Polling Center,Party_ID,Party,Votes,Municipality
1,0112C,22,NOVA DEMOKRATSKA STRANKA,0,Deçan
1,0112C,23,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0112C,24,KOALICIJA SDA,1,Deçan
1,0112C,25,Lëvizja VETËVENDOSJE!,30,Deçan
1,0112C,26,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0113C,1,JEDINSTVENA GORANSKA PARTIJA,1,Deçan
1,0113C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,463,Deçan
1,0113C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,0,Deçan
1,0113C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0113C,5,GRAĐANSKA INICIJATIVA GORE,1,Deçan
